Date,Ticker,Action,Price,Shares,Notional,Conviction,Tier,PnL,PnL_Pct,Reason
2000-01-19,QQQ,BUY,93.06,10745.7554,1000000.0,80,,0.0,0.0,
2000-01-21,QQQ,SELL,96.05,5372.8777,516064.9,40,Tier1,16064.9,3.213,conviction=40 < 60
2000-01-27,QQQ,SELL,91.32,5372.8777,490651.19,0,Tier2,-9348.81,-1.8698,"AMA signal=-1, AMA=91.0749 < prev=91.1706"
2000-06-01,QQQ,BUY,84.79,11873.0522,1006716.1,80,,0.0,0.0,
2000-06-05,QQQ,SELL,91.82,5936.5261,545091.83,40,Tier1,41733.78,8.2911,conviction=40 < 60
2000-06-23,QQQ,SELL,94.56,5936.5261,561357.91,40,Tier3,57999.86,11.5226,trailing stop hit (stop=92.99)
2000-10-20,QQQ,BUY,84.11,13154.7941,1106449.74,100,,0.0,0.0,
2000-10-23,QQQ,SELL,85.79,6577.3971,564274.89,40,Tier1,11050.03,1.9974,conviction=40 < 60
2000-10-25,QQQ,SELL,80.87,6577.3971,531914.1,40,Tier3,-21310.77,-3.8521,trailing stop hit (stop=78.61)
2000-11-03,QQQ,BUY,82.49,13288.7501,1096189.0,80,,0.0,0.0,
